number,date,law,title,changes,source
1,1995-06-12,Ley 26470,Modifican la Constitución Política del Estado en lo referido a las garantías constitucionales,"Modificación de los incisos 2 y 3 del artículo 200",Edición oficial del Congreso diciembre 2024
2,1995-06-13,Ley 26472,Modifican artículo de la Constitución Política del Estado en lo referido a la asignación de recursos del presupuesto del sector público,Modificación del artículo 77,Edición oficial del Congreso diciembre 2024
3,2000-11-05,Ley 27365,Ley de reforma constitucional que elimina la reelección presidencial inmediata y modifica la duración del mandato del presidente vicepresidentes y congresistas elegidos en 2000,"Modificación del artículo 112; incorporación de la primera y segunda disposición transitoria especial",Edición oficial del Congreso diciembre 2024
4,2002-03-07,Ley 27680,Ley de reforma constitucional del Capítulo XIV del Título IV sobre descentralización,Modificación del Capítulo XIV del Título IV artículos 188 al 199,Edición oficial del Congreso diciembre 2024
5,2004-11-17,Ley 28389,Ley de reforma de los artículos 11 103 y primera disposición final y transitoria,"Incorporación del segundo párrafo en el artículo 11; modificación del artículo 103; sustitución de la primera disposición final y transitoria",Edición oficial del Congreso diciembre 2024
6,2004-11-17,Ley 28390,Ley de reforma de los artículos 74 y 107 de la Constitución Política del Perú,Modificación de los artículos 74 y 107,Edición oficial del Congreso diciembre 2024
7,2005-03-30,Ley 28480,Ley de reforma de los artículos 31 y 34 de la Constitución Política del Perú,Modificación de los artículos 31 y 34,Edición oficial del Congreso diciembre 2024
8,2005-04-05,Ley 28484,Ley de reforma de los artículos 87 91 92 96 y 101,"Modificación del artículo 87 numeral 3 del artículo 91 último párrafo del artículo 92 primer párrafo del artículo 96 y numeral 2 del artículo 101",Edición oficial del Congreso diciembre 2024
9,2005-10-04,Ley 28607,Ley de reforma de los artículos 91 191 y 194 de la Constitución Política del Perú,Modificación de los artículos 91 191 y 194,Edición oficial del Congreso diciembre 2024
10,2009-09-08,Ley 29401,Ley de reforma de los artículos 80 y 81 de la Constitución Política del Perú,Modificación de los artículos 80 y 81,Edición oficial del Congreso diciembre 2024
11,2009-09-08,Ley 29402,Ley de reforma del artículo 90 de la Constitución Política del Perú,"Modificación del artículo 90; incorporación de la tercera disposición transitoria especial",Edición oficial del Congreso diciembre 2024
12,2015-03-10,Ley 30305,Ley de reforma de los artículos 191 194 y 203 sobre denominación y no reelección inmediata de autoridades regionales y alcaldes,"Modificación de los artículos 191 194 y numeral 6 del artículo 203",Edición oficial del Congreso diciembre 2024
13,2017-05-09,Ley 30558,Ley de reforma del literal f del inciso 24 del artículo 2,Modificación del literal f del inciso 24 del artículo 2,Edición oficial del Congreso diciembre 2024
14,2017-06-22,Ley 30588,Ley de reforma constitucional que reconoce el acceso al agua como derecho constitucional,Incorporación del artículo 7-A,Edición oficial del Congreso diciembre 2024
15,2017-08-20,Ley 30650,Ley de reforma del artículo 41 de la Constitución Política del Perú,Modificación del cuarto párrafo del artículo 41,Edición oficial del Congreso diciembre 2024
16,2017-08-20,Ley 30651,Ley de reforma del artículo 203 para otorgar legitimación activa al presidente del Poder Judicial,Modificación del artículo 203,Edición oficial del Congreso diciembre 2024
17,2018-03-14,Ley 30738,Ley de reforma del artículo 52 de la Constitución Política del Perú,Modificación del primer párrafo del artículo 52,Edición oficial del Congreso diciembre 2024
18,2019-01-10,Ley 30905,Ley que modifica el artículo 35 para regular el financiamiento de organizaciones políticas,Modificación del artículo 35,Edición oficial del Congreso diciembre 2024
19,2019-01-10,Ley 30906,Ley de reforma constitucional que prohíbe la reelección inmediata de parlamentarios,Incorporación del artículo 90-A,Edición oficial del Congreso diciembre 2024
20,2019-01-10,Ley 30904,Ley de reforma constitucional sobre la conformación y funciones de la Junta Nacional de Justicia,Modificación de los artículos 154 155 y 156,Edición oficial del Congreso diciembre 2024
21,2020-09-15,Ley 31043,Ley de reforma constitucional que incorpora impedimentos para postular o ejercer función pública,Incorporación de los artículos 34-A y 39-A,Edición oficial del Congreso diciembre 2024
22,2020-12-29,Ley 31097,Ley de reforma del artículo 16 con el fin de fortalecer el sector educación,Modificación del artículo 16,Edición oficial del Congreso diciembre 2024
23,2021-02-06,Ley 31118,Ley de reforma constitucional que elimina la inmunidad parlamentaria,Modificación del artículo 93,Edición oficial del Congreso diciembre 2024
24,2021-07-16,Ley 31280,Ley de reforma constitucional que establece el régimen de residencia temporal del expresidente,Modificación del artículo 112; declarada inconstitucional por STC 918/2021,Edición oficial del Congreso diciembre 2024
25,2021-07-23,Ley 31304,Ley de reforma constitucional que refuerza la protección del patrimonio cultural de la nación,Modificación del artículo 21; declarada inconstitucional por STC 918/2021,Edición oficial del Congreso diciembre 2024
26,2021-07-23,Ley 31305,Ley de reforma constitucional sobre levantamiento del secreto bancario y reserva tributaria,Modificación del inciso 5 del artículo 2; declarada inconstitucional por STC 918/2021,Edición oficial del Congreso diciembre 2024
27,2021-02-10,Ley 31122,Ley de reforma constitucional que habilita doble empleo público remunerado del personal médico especializado o asistencial en emergencia sanitaria,Modificación del artículo 40,Edición oficial del Congreso diciembre 2024
28,2022-02-12,Ley 31414,Ley de reforma constitucional que refuerza la protección del patrimonio cultural de la nación,Modificación del artículo 21,Edición oficial del Congreso diciembre 2024
29,2022-07-03,Ley 31507,Ley de reforma constitucional sobre levantamiento del secreto bancario y reserva tributaria,Modificación del inciso 5 del artículo 2,Edición oficial del Congreso diciembre 2024
30,2023-09-23,Ley 31878,Ley de reforma constitucional que promueve el uso de tecnologías de información y comunicación y reconoce acceso a internet libre,Incorporación del artículo 14-A,Edición oficial del Congreso diciembre 2024
31,2024-03-20,Ley 31988,Ley de reforma constitucional que restablece la Bicameralidad en el Congreso de la República,"Modificación de los artículos 2 39 56 57 78 79 80 81 82 86 87 90 91 92 93 94 95 96 97 98 99 100 101 102 104 105 106 107 108 117 118 129 130 131 132 133 134 135 136 137 139 142 150 157 161 162 182 183 191 194 201 203 y 206; incorporación de los artículos 102-A y 102-B; derogación del artículo 90-A",Edición oficial del Congreso diciembre 2024
32,2024-10-15,Ley 32135,Ley de reforma constitucional que incorpora la Disposición Transitoria Especial Cuarta,Incorporación de la disposición transitoria especial cuarta,Edición oficial del Congreso diciembre 2024
33,2024-10-29,Ley 32145,Ley de reforma constitucional del artículo 40 para habilitar doble empleo público remunerado al personal médico o asistencial de salud,Modificación del primer párrafo y derogación del segundo párrafo del artículo 40,Edición oficial del Congreso diciembre 2024
34,2024-12-11,Ley 32188,Ley de reforma constitucional que modifica los artículos 7 y 23 para considerar el término discapacidad,Modificación de los artículos 7 y 23,Edición oficial del Congreso diciembre 2024
35,2024-12-11,Ley 32189,Ley de reforma constitucional del subtítulo del capítulo VI del título III y del artículo 89 para el reconocimiento del pueblo afroperuano,Modificación del subtítulo del capítulo VI del título III y del artículo 89,Edición oficial del Congreso diciembre 2024
